ids,text,target
2329170131,why am tipsy at 1:30 in the afternoon. Thanks Theresa! Sad u r leaving ,0
2329170276,why am tipsy at 1:30 in the afternoon. Thanks Theresa! Sad u r leaving ,0
2329170385,has a feeling the rest of the day is going to be crappy. ,0
2329170393,@JapanNewbie woohoo I'm all for slack time.. I'm goin crazy at work ,0
2329170631,Scratch that.. No pool today ,0
2329170797,"@markhoppus  my girlfriend just dumped me, got anything cool 2 say 2 me? i've loved blink for years but not even &quot;down&quot; can stop the pain ",0
2329171365,It's 3:30 am and I can't sleep  I'm sad ,0
2329171642,i said &quot;hello&quot; to a gal to chat wid her and she replies &quot;hi....i gotta go bye&quot; .... oh man wat a draag.... ,0
2329171699,@djincredible @untouchableTQ all these hungry people...and no one thought of me ...  i'm a loser...that settles it lol,0
2329172005,@Novablue ah honey.   so sorry you're sick.  xoxo.   ~slg,0
2329172020,i just lost a follower...lame ,0
2329172236,No farrah on my list ,0
2329172688,"@LovePaper oh no! that's my fear, i have no trust for the mail system. i'm always wondering...sorry for you ",0
2329173103,Dnt want to get up ,0
2329173489,So sad to hear about Farrah Fawcett ,0
2329173512,"@houstonbeauty yea,not til September ",0
2329174450,@officialmgnfox Sorry about your day  Hope it gets better,0
2329174453,"Rest in peace, Farrah.. ",0
2329174580,Oh no! Farrah fawcett has passed away...  what a week,0
2329175007,"is still thinking he might be lucky enough to win a #squarespace iphone, but karma seems limited a hospital stay for my wife.  #facebook",0
2329175109,hopes farrah fawcett is kicking ass and catching bad guys with style in heaven as she did so well while she was here on earth ,0
2329175157,sadness...just read that Farrah Fawcett died today....she'll be missed ,0
2329175310,@QueenInMyCity yeah you can't do that if u leave ur phone on... ,0
2329175347,sitting in the parking lot back from lunch...i dont want to go inside  too perfect out for laying in the pool,0
2329175517,Home alone :/ im always such a loner ,0
2329175528,oh man. :'( Farrah Fawcett died this morning. man...THE Charlie's Angel. I'm praying for her family. This is just....really sad. ,0
2329175802,Wow I can't believe Farrah Fawcett died  another one of my blonde icons has passed  Pammy Anderson u better take care of yourself!,0
2329175993,its storming ,0
2329176087,Farrah Fawcett succumbed to the ass-cancer. ,0
2329176298,i'm so hungry right now ,0
2329176482,wishes he could win a holiday for his familty ,0
2329176730,@TuesdayBlues HAHA SHUT UP WENNA. IT'S MAKING ME MISS YOU EVEN MORE ,0
2329176803,"....I am being followed by 'trekkie shop', bitch I don't even like those kind of shows. ",0
2329176826,oh so sad about farrah fawcett's death. ,0
2329177127,@sotwitty Not gonna happen today. ,0
2329177285,@itsroomi  Hi girl! How are u? Oh u feel bad..  Why? Can i help u? ^^,0
2329177460,and that should say habanero... the spanish n screwed it up ,0
2329177836,i don't want to email any more CVs. i'm bored of emailing CVs. i feel crappy ,0
2329177844,"Laying aroundd. I don't feel good, ",0
2329178170,Just lost $8 on the first round of poker playing 10/20c. ,0
2329178327,@BAMbam_12 word  uggghh im doing well pretty anxious for this performance tonight.,0
2329178469,I just found out that Farrah Fawcett has passed away after her long battle with cancer. God bless her family!  ,0
2329178530,R.I.P. my grandma(royice marcucci) 6.25.2009 at 12:12 central time ,0
2329178550,"getting ready, work 2-10 tonight. ",0
2329178558,Farrah Fawcett died at 9:30 this mornings. ,0
2329178603,"heading to the dentist, this is gunna suck so bad. ",0
2329178910,Farrah Fawcett has died  WE need to find a cure for cancer. Prayers to her family!,0
2329179227,"@eblerim yes, VM is down for more than 10 days now  But you should be able to e-mail me at my work address",0
2329179316,@stixizza where r u friend??? i miss u ,0
2329179323,"1.24 am....finished my assignment...CE-LE-BRATE GOOD TIMES COME ON! now, study for my test....no sleep at all for me tonight! goody  ",0
2329179378,fighting this darn sinus trouble I have. ,0
2329179408,is sad about Farrah ,0
2329179870,"Going to chill out @ Arne's place. The @ is seperate, since he doesn't tweet ",0
2329179894,"@gillieschick Your boyfriend misses you, too. ",0
2329197701,Back frpm sports and i´m so ill - that´s not good! I need a nurse to become healthy. It´s cold and all hurts...i hate it!!!!!! ,0
2329197770,omg i just found out farrah fawcett died. ,0
2329197868,@LisaHopeCyrus yes he was such a jerk and so mean! I really thought we were friends!  goshh im so mad at him,0
2329197911,is sad that Farrah Fawcett just died  http://plurk.com/p/13ycf6,0
2329198107,@alex11790 yes yes I am  its exhaustinggg,0
2329198120,One of my fav icons has passed away - RIP Farrah Fawcett  ,0
2329198382,Been in Photoshop 2 days straight and finally finished a big $500 project! Feel so successful!  and tired lol.... got more to do tho ,0
2329198886,"So tired, not ready for work, throat hurts, complain ",0
2329198907,@ladykatiejane Sorry you lost your watch  We know how strange it feels to not have one on!,0
2329199154,@rlangeles no.  I slept Ina lil.. But it still hurts.,0
2329199222,cheer---2-a-days  today and tomorrow..... ,0
2329199295,Today's Hair Style : Basic Bun - I do have to work today  no fun!,0
2329199457,Farrah was one of my favorite actresses..  ,0
2329199550,All dressed up and ready for Graduands Dinner at college. Last ever 'formal' - sadface ,0
2329200069,dinner with my mum and my sis!! my dad is in the hospital ,0
2329200255,Miami is awesome so sad my trip is almost over ,0
2329200292,thinks everyone should flip out their layers this week in honor of Farrah. RIP my favorite FABULOUS Charlie's Angel ,0
2329200340,@mcdeezer. Aww shoot. Wonder if she tied the knot with Ryan O'Neal before she died. Sad ,0
2329200457,Ugh I really don't want to go to school today. ,0
2329201408,@teemwilliams tell her to pray for me too!! i have the same problem ,0
2329202126,got down to $0 in checking over a week ago. Luckily $200 automatically transferred from savings.    This sux.,0
2329202288,"RIP Farrah, I hope you have some peace now ",0
2329202675,RIP Jill Monroe. ,0
2329202936,doesnt know what to do ,0
2329203180,said goodbye to sam and rachel ,0
2329203219,.good for miley..i'm still awake in te MIDNIGHT.. ,0
2329203336,Big lump in my throat from reading about Farrah Fawcett's passing...saddens me tremendously whenever someone loses a battle w/ cancer ,0
2329203338,@nitchxo I get pressure behind my left eye sometimes  hows your essay gone?,0
2329203475,i have nothing to do now  ugh,0
2329203761,I'm so sad I'm leaving FL ,0
2329204067,"@shelbytyszka hmm, that doesn't sound anywhere remotely close to california!! @one_call y are you trying to make me not like youuuuu?  ha",0
2329204298,@ehasselbeck wtching the show 10:28am here...WA. topic is Farrah she was still alive...I just went online found she had already passed ,0
2329204327,"ugh, all my pics r too bog 4 twitter ",0
2329204524,I feel so dumb because my host  so smart at all this site stuff and I don't know that much! ,0
2329204554,R.I.P. Farrah God bless My prayers and love go's out to Her family and friends so sad ,0
2329204559,Farrah Fawcett passed away...so sad ,0
2329204621,Just payed my WAY OVERDUE zta dues. Goodbye $350. That's a good two wks of work.  how depressing. Ruined my day....but at least it's done.,0
2329204651,"and I think it has a mind of its own,like it always ring when I'm taking a leak..jeez that makes whole thing embarrassingly musical ",0
2329204705,@iaintnohomo  Banana will be playing later. BUT. Shell be playing with Caro.,0
2329204790,@koolgirl37 read my tweet below ,0
2329204835,My life  http://mattf.ca/2009/06/24/yay-me/,0
2329204987,Tried to get the mutant Fawkes to follow me but he wouldn't  it's so lonely without followers I have never had one :$,0
2329205009,Sick  Spending my day laying in bed listening to @taylorswift13,0
2329205038,Gmail is down? ,0
2329205473,rest in peace Farrah! So sad ,0
2329205574,@Eric_Urbane Sounds like a rival is flagging your ads. Not much you can do about that though ,0
2329205794,has to resit exams over summer...  wishes he worked harder at first year of uni...,0
1467822272,I LOVE @Health4UandPets u guys r the best!! ,4
1467822273,im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!,4
1467822283,"@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. ",4
1467822287,"Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup",4
1467822293,@LovesBrooklyn2 he has that effect on everyone ,4
1467822391,@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,4
1467822447,@r_keith_hill Thans for your response. Ihad already find this answer ,4
1467822465,"@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! ",4
1467822489,"@tommcfly ah, congrats mr fletcher for finally joining twitter ",4
1467822496,@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors ,4
1467822530,crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ,4
1467822531,@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! ,4
1467822635,"@nileyjileyluver Haha, don't worry! You'll get the hang of it! ",4
1467822729,"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting ",4
1467822796,@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?,4
1467822814,Just added tweetie to my new iPhone ,4
1467822899,@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! ),4
1467822924,@nicolerichie: your picture is very sweet ,4
1467822936,"Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw ",4
1467822964,"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! ",4
1467822994,Didn't place in the Peeps contest but thanks for voting anyways. ,4
1467823016,Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0,4
1467823046,@LittleLumen walking over to put the deposit down tomorrow ,4
1467823079,"is now followinq @DAChesterFrench , you shud do tha same ",4
1467823109,@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? ,4
1467823132,Aw i'm holding my new puppy. Well He's not mine but He's a cutie. ,4
1467823216,@iJohn kitteh is sleepin on my crotch which proves she likes me more ,4
1467823363,@DramaBeats agreed ,4
1467823405,reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ,4
1467823594,@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star ,4
1467823618,happy to spend time with the family. ,4
1467823631,finally going to bed!  so tired. Was gonna watch The Hills but didnt =/,4
1467823643,so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! ,4
1467823719,@deon upload di indowebster dong banggggg ,4
1467823824,@wisdomous you're welcome. glad you enjoyed it. ,4
1467823826,@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?,4
1467823876,@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up ,4
1467823919,YAY! found a new cuddle buddy ,4
1467823936,I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! ,4
1467823989,Across the Universe. Sleep. Rehearsal tomorrow. ,4
1467824005,"@annabellee dry sweet potato, huh? ",4
1467824088,"@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!",4
1467824094,having a long conversation with mom on phone ,4
1467824118,@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? ,4
1467824185,Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  ,4
