idx,word,occurrences
0,I,78
1,not,14
2,Im,12
3,see,11
4,one,11
5,going,11
6,u,11
7,today,10
8,go,10
9,like,10
10,day,10
11,dont,9
12,got,8
13,The,8
14,time,8
15,really,8
16,tomorrow,8
17,sad,8
18,back,8
19,think,8
20,cant,7
21,im,7
22,love,7
23,get,7
24,nice,7
25,never,6
26,though,6
27,work,6
28,na,6
29,still,6
30,My,6
31,much,5
32,hate,5
33,want,5
34,Its,5
35,sure,5
36,soon,5
37,right,5
38,No,5
39,great,5
40,Day,4
41,bit,4
42,thanks,4
43,didnt,4
44,either,4
45,miss,4
46,sleep,4
47,wont,4
48,sick,4
49,ill,4
50,good,4
51,know,4
52,wan,4
53,family,4
54,bad,4
55,YOU,4
56,find,4
57,outside,4
